Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Nm]
16.8,-0.02,0.0,-0.01,0.53,-0.0,9.33,-0.38
16.82,-0.03,0.01,-0.01,0.53,0.01,9.31,-0.4
16.84,-0.02,0.02,-0.0,0.52,0.01,9.29,-0.59
16.86,-0.02,0.04,0.01,0.52,0.01,9.28,-0.89
16.88,-0.02,0.04,0.03,0.52,0.01,9.27,-1.0
16.89,-0.01,0.0,0.05,0.52,0.02,9.25,-0.85
16.91,0.0,-0.02,0.04,0.52,0.02,9.25,-0.56
16.93,0.01,0.0,0.02,0.53,0.01,9.26,-0.38
16.95,0.01,0.02,0.01,0.54,0.01,9.28,-0.38
16.97,-0.01,0.03,-0.01,0.54,0.01,9.3,-0.38
16.98,-0.03,0.03,-0.02,0.54,0.01,9.31,-0.17
17.0,-0.02,0.05,-0.03,0.54,0.0,9.31,0.25
17.02,0.0,0.04,-0.04,0.55,0.0,9.3,0.62
17.04,0.02,0.03,-0.04,0.56,0.0,9.3,0.8
17.05,0.03,0.01,-0.02,0.56,0.0,9.3,0.78
17.07,0.02,0.0,-0.0,0.55,0.01,9.3,0.8
17.09,0.02,0.03,0.0,0.55,0.01,9.29,1.0
17.11,0.01,0.06,-0.0,0.55,0.0,9.29,1.3
17.13,-0.01,0.06,-0.01,0.54,-0.0,9.31,1.4
17.14,-0.06,0.05,-0.01,0.53,-0.0,9.32,1.23
17.16,-0.1,0.05,-0.0,0.52,0.01,9.32,0.94
17.18,-0.12,0.08,0.01,0.51,0.01,9.31,0.78
17.2,-0.12,0.08,-0.0,0.51,0.03,9.31,0.79
17.22,-0.1,0.06,-0.03,0.52,0.03,9.31,0.78
17.23,-0.1,0.03,-0.04,0.53,0.03,9.32,0.57
17.25,-0.1,0.01,-0.04,0.55,0.03,9.32,0.12
17.27,-0.09,0.01,-0.04,0.56,0.03,9.32,-0.24
17.29,-0.05,0.02,-0.03,0.55,0.02,9.31,-0.4
17.31,-0.02,0.03,0.0,0.54,0.01,9.31,-0.37
17.32,0.01,0.05,0.04,0.54,0.01,9.3,-0.41
17.34,-0.01,0.05,0.05,0.53,0.01,9.29,-0.62
17.36,-0.04,0.03,0.04,0.52,0.01,9.28,-0.9
17.38,-0.04,0.01,0.01,0.53,0.01,9.27,-1.0
17.4,0.0,-0.0,-0.02,0.54,0.01,9.27,-0.82
17.41,0.03,0.01,-0.05,0.54,0.01,9.28,-0.53
17.43,0.01,0.03,-0.06,0.55,0.0,9.28,-0.37
17.45,-0.02,0.03,-0.03,0.55,-0.0,9.28,-0.39
17.47,-0.04,0.02,-0.02,0.56,0.0,9.29,-0.37
17.48,-0.04,0.0,-0.01,0.56,0.0,9.29,-0.15
17.5,-0.05,-0.01,0.0,0.56,0.0,9.3,0.3
17.52,-0.04,-0.02,0.0,0.55,0.0,9.3,0.65
17.54,-0.03,-0.02,-0.01,0.56,-0.0,9.31,0.8
17.56,-0.01,-0.02,-0.01,0.56,-0.0,9.31,0.77
17.57,0.01,-0.0,-0.02,0.56,-0.01,9.31,0.81
17.59,0.03,0.01,-0.02,0.56,-0.02,9.31,1.04
17.61,0.04,0.0,-0.02,0.55,-0.02,9.31,1.31
17.63,0.05,-0.0,-0.03,0.55,-0.02,9.31,1.39
17.65,0.06,-0.01,-0.02,0.54,-0.01,9.31,1.2
17.67,0.07,-0.01,-0.0,0.54,-0.01,9.32,0.91
17.68,0.06,-0.01,0.03,0.53,-0.0,9.33,0.77
17.7,0.05,-0.01,0.06,0.53,0.0,9.33,0.79
17.72,0.05,-0.01,0.06,0.52,0.0,9.33,0.77
17.74,0.05,0.01,0.04,0.51,0.0,9.33,0.53
17.75,0.04,0.03,0.02,0.51,0.0,9.33,0.08
17.77,0.04,0.05,0.01,0.52,0.0,9.33,-0.27
17.79,0.04,0.07,-0.0,0.53,0.01,9.33,-0.4
17.81,0.04,0.09,-0.03,0.53,0.01,9.33,-0.37
17.83,0.02,0.09,-0.06,0.54,0.01,9.33,-0.42
17.84,-0.01,0.08,-0.08,0.54,0.01,9.32,-0.65
17.86,-0.02,0.04,-0.08,0.53,0.01,9.31,-0.92
17.88,-0.02,-0.0,-0.08,0.52,0.0,9.3,-0.99
17.9,-0.01,-0.02,-0.08,0.51,0.0,9.29,-0.78
17.92,-0.01,-0.02,-0.06,0.51,-0.01,9.29,-0.51
17.93,-0.01,-0.02,-0.03,0.51,-0.01,9.29,-0.37
17.95,-0.01,-0.03,0.02,0.52,-0.01,9.29,-0.39
17.97,-0.01,-0.04,0.04,0.53,0.0,9.3,-0.36
17.99,-0.02,-0.05,0.02,0.53,0.01,9.3,-0.09
18.01,-0.0,-0.04,-0.01,0.53,0.01,9.3,0.35
18.02,0.02,0.0,-0.03,0.52,0.02,9.29,0.7
18.04,0.05,0.03,-0.03,0.52,0.02,9.29,0.8
18.06,0.07,0.04,-0.02,0.52,0.02,9.29,0.77
18.08,0.08,0.04,0.0,0.52,0.02,9.3,0.83
18.1,0.07,0.04,0.01,0.52,0.03,9.32,1.08
18.11,0.05,0.03,0.0,0.52,0.02,9.35,1.33
18.13,0.03,-0.0,-0.01,0.52,0.01,9.36,1.38
18.15,0.03,-0.03,-0.02,0.52,0.0,9.37,1.17
18.17,0.03,-0.05,-0.04,0.53,0.0,9.36,0.89
18.18,0.02,-0.06,-0.04,0.53,0.0,9.36,0.77
18.2,0.01,-0.03,-0.02,0.53,0.0,9.36,0.79
18.22,0.01,0.0,-0.01,0.52,0.0,9.35,0.75
18.24,0.02,0.03,-0.02,0.51,0.01,9.33,0.47
18.26,0.04,0.05,-0.02,0.51,0.02,9.32,0.05
18.27,0.05,0.06,-0.02,0.52,0.02,9.33,-0.31
18.29,0.04,0.07,-0.02,0.52,0.02,9.35,-0.4
18.31,0.04,0.08,-0.02,0.53,0.03,9.36,-0.37
18.33,0.03,0.06,-0.02,0.53,0.03,9.36,-0.43
18.35,0.0,0.03,-0.02,0.53,0.02,9.35,-0.7
18.36,-0.03,0.01,-0.03,0.53,0.02,9.35,-0.94
18.38,-0.04,0.01,-0.02,0.53,0.03,9.34,-0.98
18.4,-0.04,0.04,-0.01,0.54,0.02,9.34,-0.75
18.42,-0.04,0.07,0.01,0.54,0.02,9.33,-0.48
18.44,-0.01,0.06,0.03,0.54,0.01,9.32,-0.37
18.45,0.02,0.04,0.03,0.53,0.01,9.31,-0.4
18.47,0.04,0.02,0.02,0.53,0.01,9.3,-0.35
18.49,0.06,0.02,-0.0,0.52,0.01,9.3,-0.04
18.51,0.08,0.01,-0.0,0.53,0.0,9.31,0.37
18.53,0.08,0.01,0.01,0.53,-0.01,9.32,0.72
18.54,0.05,0.02,0.01,0.54,-0.02,9.32,0.8
18.56,-0.01,0.01,0.01,0.54,-0.03,9.31,0.77
18.58,-0.06,-0.0,0.02,0.55,-0.05,9.31,0.84
18.6,-0.08,-0.01,0.01,0.54,-0.05,9.31,1.1
18.61,-0.06,-0.01,-0.02,0.55,-0.04,9.31,1.35
18.63,-0.04,-0.0,-0.04,0.55,-0.02,9.31,1.37
18.65,-0.02,0.02,-0.06,0.54,-0.01,9.3,1.13
18.67,-0.01,0.06,-0.09,0.54,-0.0,9.29,0.87
18.69,-0.02,0.1,-0.11,0.54,0.01,9.28,0.77
18.7,-0.04,0.11,-0.1,0.53,0.01,9.29,0.8
18.72,-0.05,0.07,-0.07,0.53,0.0,9.29,0.74
18.74,-0.03,0.02,-0.05,0.52,0.0,9.29,0.42
18.76,-0.0,-0.01,-0.01,0.52,0.0,9.3,0.0
18.78,0.02,-0.04,0.03,0.52,0.0,9.3,-0.33
18.79,0.03,-0.06,0.05,0.52,0.0,9.29,-0.4
18.81,0.02,-0.06,0.04,0.51,0.01,9.29,-0.37
18.83,-0.02,-0.04,0.02,0.51,0.01,9.28,-0.45
18.85,-0.03,0.01,-0.01,0.52,0.02,9.29,-0.72
18.87,-0.03,0.05,-0.03,0.52,0.01,9.3,-0.96
18.88,-0.03,0.07,-0.02,0.53,0.01,9.32,-0.96
18.9,-0.02,0.06,-0.01,0.53,0.0,9.32,-0.72
18.92,-0.01,0.03,-0.01,0.54,-0.01,9.32,-0.45
18.94,-0.02,-0.0,-0.0,0.56,-0.02,9.32,-0.37
18.96,-0.03,-0.03,0.01,0.56,-0.03,9.31,-0.4
18.97,-0.04,-0.02,0.01,0.56,-0.02,9.3,-0.33
18.99,-0.03,0.01,0.0,0.55,-0.01,9.29,0.0
19.01,-0.03,0.04,-0.01,0.55,-0.01,9.29,0.42
19.03,-0.04,0.04,-0.02,0.56,-0.01,9.29,0.73
19.04,-0.06,-0.0,-0.03,0.56,-0.01,9.3,0.8
19.06,-0.07,-0.04,-0.03,0.55,-0.01,9.3,0.77
19.08,-0.07,-0.06,-0.01,0.54,-0.0,9.31,0.87
19.1,-0.07,-0.04,0.02,0.53,-0.0,9.31,1.13
19.12,-0.09,-0.01,0.04,0.52,-0.0,9.33,1.37
19.13,-0.12,0.02,0.05,0.52,-0.01,9.34,1.35
19.15,-0.13,0.03,0.06,0.52,-0.0,9.35,1.12
19.17,-0.09,0.02,0.05,0.52,-0.0,9.36,0.84
19.19,-0.05,0.01,0.03,0.53,0.0,9.36,0.77
19.21,-0.03,0.0,-0.0,0.53,0.01,9.35,0.8
19.22,-0.01,-0.0,-0.02,0.54,0.0,9.34,0.72
19.24,-0.01,-0.0,-0.04,0.56,-0.0,9.32,0.37
19.26,-0.01,-0.0,-0.06,0.57,-0.01,9.3,-0.04
19.28,-0.0,-0.0,-0.06,0.56,-0.01,9.28,-0.34
19.3,0.01,0.0,-0.06,0.56,-0.01,9.28,-0.4
19.31,-0.0,0.01,-0.04,0.55,0.0,9.29,-0.37
19.33,-0.02,0.03,-0.03,0.54,0.01,9.3,-0.48
19.35,-0.04,0.04,-0.03,0.53,0.01,9.3,-0.75
19.37,-0.03,0.05,-0.03,0.53,0.01,9.31,-0.97
19.39,-0.02,0.04,-0.03,0.54,0.01,9.31,-0.94
19.4,-0.01,0.02,-0.02,0.54,0.01,9.31,-0.7
19.42,-0.02,0.0,-0.02,0.54,0.01,9.31,-0.43
19.44,-0.02,-0.0,-0.03,0.54,0.01,9.31,-0.37
19.46,0.01,-0.01,-0.05,0.53,0.02,9.32,-0.4
19.47,0.02,-0.02,-0.05,0.53,0.02,9.32,-0.31
19.49,0.0,-0.03,-0.05,0.53,0.02,9.32,0.03
19.51,-0.01,-0.03,-0.03,0.54,0.0,9.32,0.47
19.53,-0.02,-0.01,-0.03,0.55,-0.01,9.32,0.75
19.55,-0.05,0.01,-0.02,0.55,-0.03,9.3,0.79
19.56,-0.05,0.04,-0.0,0.55,-0.03,9.3,0.77
19.58,-0.04,0.06,0.01,0.55,-0.02,9.3,0.88
19.6,-0.03,0.07,-0.0,0.54,-0.01,9.31,1.17
19.62,-0.03,0.06,0.0,0.53,0.0,9.32,1.38
19.64,-0.03,0.06,0.02,0.53,-0.0,9.33,1.33
19.65,-0.01,0.06,0.02,0.53,-0.01,9.33,1.08
19.67,0.01,0.03,0.01,0.54,-0.01,9.31,0.83
19.69,0.02,-0.01,0.02,0.54,-0.01,9.29,0.77
19.71,0.01,-0.03,0.02,0.53,-0.01,9.28,0.8
19.73,-0.0,-0.06,0.03,0.53,-0.01,9.28,0.7
19.74,-0.01,-0.08,0.03,0.54,-0.01,9.29,0.35
19.76,-0.01,-0.07,0.05,0.55,0.0,9.3,-0.09
19.78,-0.02,-0.02,0.06,0.55,0.01,9.31,-0.36
19.8,-0.02,0.02,0.06,0.55,0.01,9.31,-0.39
19.82,-0.01,0.05,0.05,0.54,0.0,9.3,-0.37
19.83,0.02,0.06,0.03,0.54,-0.0,9.29,-0.5
19.85,0.05,0.09,0.0,0.54,-0.01,9.29,-0.78
19.87,0.04,0.1,-0.02,0.54,-0.01,9.29,-0.99
19.89,0.02,0.08,-0.02,0.54,-0.01,9.31,-0.92
19.91,-0.0,0.04,-0.01,0.55,-0.01,9.32,-0.65
19.92,-0.01,-0.03,0.02,0.56,-0.0,9.33,-0.43
19.94,0.0,-0.09,0.04,0.55,0.01,9.33,-0.37
19.96,0.02,-0.12,0.02,0.55,0.02,9.34,-0.4
19.98,0.01,-0.09,-0.01,0.54,0.03,9.34,-0.27
20.0,0.01,-0.03,-0.02,0.54,0.02,9.33,0.08
20.01,0.03,0.02,0.01,0.54,0.01,9.33,0.53
20.03,0.05,0.05,0.04,0.54,-0.0,9.33,0.77
20.05,0.07,0.06,0.04,0.54,-0.01,9.31,0.79
20.07,0.07,0.06,0.02,0.54,-0.01,9.31,0.77
20.08,0.05,0.03,-0.0,0.53,-0.0,9.32,0.91
20.1,0.04,-0.0,-0.02,0.52,-0.01,9.33,1.2
20.12,0.02,-0.02,-0.03,0.52,-0.01,9.34,1.39
20.14,0.01,-0.02,-0.04,0.53,-0.01,9.33,1.31
20.16,0.0,-0.0,-0.01,0.53,-0.01,9.31,1.04
20.17,-0.02,0.03,0.04,0.53,-0.01,9.3,0.82
20.19,-0.06,0.06,0.08,0.53,-0.01,9.3,0.77
20.21,-0.09,0.08,0.09,0.53,-0.01,9.3,0.8
20.23,-0.1,0.09,0.08,0.53,-0.01,9.31,0.65
20.25,-0.1,0.09,0.07,0.53,-0.02,9.31,0.3
20.26,-0.08,0.07,0.04,0.54,-0.02,9.3,-0.13
20.28,-0.04,0.04,0.01,0.55,-0.02,9.29,-0.37
20.3,0.01,0.02,-0.0,0.55,-0.02,9.3,-0.39
20.32,0.04,0.02,-0.0,0.56,-0.02,9.3,-0.37
20.34,0.04,0.02,-0.0,0.56,-0.01,9.31,-0.53
20.35,-0.0,0.03,-0.01,0.54,-0.01,9.31,-0.82
20.37,-0.04,0.03,-0.02,0.53,-0.02,9.33,-1.0
20.39,-0.04,0.03,-0.01,0.52,-0.01,9.35,-0.91
20.41,-0.02,0.03,0.03,0.51,-0.0,9.36,-0.62
20.42,-0.02,0.04,0.06,0.51,0.01,9.36,-0.41
20.44,-0.02,0.03,0.08,0.51,0.02,9.36,-0.37
20.46,-0.03,0.03,0.06,0.52,0.02,9.36,-0.4
20.48,-0.02,0.01,0.03,0.53,0.02,9.36,-0.24
20.5,-0.01,-0.02,0.01,0.54,0.02,9.35,0.12
20.51,-0.0,-0.06,0.01,0.53,0.03,9.35,0.55
20.53,-0.01,-0.07,0.0,0.53,0.04,9.35,0.78
20.55,-0.01,-0.05,-0.01,0.52,0.03,9.34,0.79
20.57,-0.01,-0.01,-0.01,0.51,0.02,9.33,0.78
20.59,-0.02,0.0,-0.01,0.51,0.0,9.32,0.94
20.6,-0.03,-0.01,-0.02,0.51,-0.01,9.31,1.22
20.62,-0.05,-0.02,-0.04,0.52,-0.01,9.31,1.4
20.64,-0.07,-0.0,-0.07,0.52,-0.01,9.31,1.3
20.66,-0.08,0.01,-0.06,0.53,-0.01,9.32,1.0
20.68,-0.09,0.01,-0.04,0.54,-0.0,9.33,0.8
20.69,-0.09,0.0,-0.01,0.54,0.0,9.34,0.78
20.71,-0.08,0.01,0.03,0.54,0.0,9.34,0.8
20.73,-0.07,0.01,0.05,0.54,0.0,9.35,0.64
20.75,-0.07,-0.02,0.04,0.54,-0.0,9.36,0.25
20.77,-0.07,-0.06,0.02,0.54,-0.01,9.36,-0.17
20.78,-0.07,-0.07,0.0,0.54,-0.01,9.36,-0.38
20.8,-0.08,-0.07,-0.01,0.54,-0.02,9.35,-0.38
20.82,-0.08,-0.06,-0.0,0.54,-0.02,9.34,-0.38
20.84,-0.08,-0.04,0.01,0.53,-0.02,9.32,-0.56
20.85,-0.07,-0.02,0.01,0.53,-0.02,9.32,-0.83
20.87,-0.06,-0.01,0.01,0.53,-0.02,9.32,-1.0
20.89,-0.05,-0.01,0.01,0.53,-0.02,9.32,-0.89
20.91,-0.03,-0.02,0.01,0.53,-0.02,9.32,-0.59
20.93,-0.03,-0.03,0.02,0.54,-0.02,9.32,-0.4
20.94,-0.04,-0.02,0.03,0.55,-0.02,9.31,-0.38
20.96,-0.06,-0.02,0.02,0.55,-0.02,9.32,-0.39
20.98,-0.04,-0.02,0.01,0.54,-0.02,9.32,-0.22
21.0,-0.01,-0.01,0.01,0.53,-0.03,9.33,0.2
21.02,0.01,-0.01,0.02,0.53,-0.02,9.33,0.59
21.04,-0.0,-0.0,0.04,0.54,-0.01,9.33,0.79
21.05,-0.0,0.01,0.05,0.54,0.0,9.33,0.78
21.07,0.0,0.01,0.06,0.53,0.01,9.32,0.78
21.09,0.0,-0.01,0.05,0.53,0.01,9.31,0.97
21.11,-0.0,-0.03,0.06,0.53,0.02,9.3,1.25
21.12,-0.02,-0.05,0.08,0.54,0.02,9.3,1.4
21.14,-0.03,-0.04,0.08,0.54,0.02,9.29,1.26
21.16,-0.03,-0.02,0.06,0.53,0.01,9.3,0.99
21.18,-0.05,0.01,0.05,0.52,0.01,9.31,0.78
21.2,-0.06,0.04,0.04,0.51,0.02,9.32,0.78
21.21,-0.07,0.06,0.03,0.51,0.02,9.33,0.79
21.23,-0.05,0.04,0.01,0.51,0.02,9.34,0.61
21.25,-0.02,0.02,-0.0,0.51,0.01,9.34,0.17
21.27,0.01,0.03,0.0,0.51,0.01,9.33,-0.21
21.29,0.02,0.05,0.01,0.52,0.0,9.3,-0.39
21.3,0.03,0.05,-0.0,0.52,-0.01,9.28,-0.38
21.32,0.03,0.03,-0.02,0.52,-0.01,9.28,-0.39
21.34,0.03,0.02,-0.03,0.51,-0.0,9.29,-0.59
21.36,0.01,0.01,-0.02,0.51,0.0,9.29,-0.87
21.38,-0.01,0.02,-0.03,0.53,0.01,9.31,-1.0
21.39,-0.05,0.04,-0.03,0.54,0.01,9.33,-0.85
21.41,-0.07,0.05,-0.04,0.55,0.0,9.34,-0.57
21.43,-0.08,0.05,-0.03,0.55,-0.0,9.36,-0.38
21.45,-0.09,0.04,-0.02,0.55,-0.0,9.36,-0.38
21.47,-0.1,0.02,-0.01,0.56,0.0,9.35,-0.38
21.48,-0.12,-0.03,0.01,0.56,0.01,9.34,-0.19
21.5,-0.11,-0.07,0.04,0.55,0.02,9.34,0.23
21.52,-0.07,-0.1,0.04,0.55,0.01,9.34,0.62
21.54,-0.02,-0.06,0.02,0.54,0.01,9.33,0.79
21.55,0.01,0.01,0.0,0.53,0.01,9.32,0.78
21.57,0.0,0.06,-0.01,0.53,0.01,9.31,0.8
21.59,-0.02,0.07,-0.02,0.52,0.01,9.31,1.0
21.61,-0.05,0.04,-0.03,0.52,-0.0,9.31,1.29
21.63,-0.07,0.01,-0.02,0.52,0.0,9.31,1.4
21.64,-0.06,-0.02,-0.0,0.52,0.01,9.33,1.23
21.66,-0.05,-0.05,0.0,0.52,0.02,9.34,0.96
21.68,-0.04,-0.08,-0.0,0.53,0.02,9.34,0.78
21.7,-0.01,-0.08,-0.01,0.53,0.01,9.32,0.78
21.72,0.03,-0.07,-0.02,0.54,-0.0,9.31,0.78
21.73,0.05,-0.06,-0.02,0.54,-0.01,9.31,0.57
21.75,0.04,-0.02,-0.01,0.54,-0.0,9.32,0.15
21.77,0.04,0.03,-0.0,0.54,0.01,9.32,-0.24
21.79,0.03,0.06,0.0,0.54,0.01,9.32,-0.4
21.81,0.01,0.06,0.02,0.53,0.02,9.33,-0.37
21.82,-0.01,0.04,0.03,0.53,0.02,9.33,-0.4
21.84,-0.03,0.01,0.03,0.51,0.02,9.34,-0.6
21.86,-0.04,-0.02,-0.0,0.51,0.02,9.34,-0.9
21.88,-0.06,-0.04,-0.02,0.51,0.02,9.34,-1.0
21.9,-0.06,-0.05,-0.02,0.52,0.01,9.33,-0.82
21.91,-0.03,-0.04,0.02,0.52,0.01,9.32,-0.54
21.93,-0.01,0.0,0.05,0.53,0.01,9.32,-0.37
21.95,-0.01,0.07,0.08,0.54,0.01,9.32,-0.39
21.97,0.01,0.12,0.07,0.54,0.01,9.31,-0.38
21.98,0.02,0.16,0.05,0.54,0.0,9.32,-0.15
22.0,0.0,0.16,0.03,0.54,0.0,9.33,0.28
22.02,-0.04,0.14,0.03,0.54,0.0,9.34,0.65
22.04,-0.06,0.1,0.05,0.53,0.01,9.34,0.8
22.06,-0.06,0.06,0.07,0.52,0.01,9.34,0.77
22.07,-0.04,0.02,0.1,0.52,-0.0,9.34,0.81
22.09,-0.02,0.01,0.11,0.52,-0.01,9.35,1.02
22.11,0.0,0.02,0.1,0.52,-0.01,9.34,1.31
22.13,0.01,0.03,0.08,0.53,-0.01,9.34,1.4
22.15,-0.02,0.01,0.05,0.54,-0.01,9.33,1.2
22.16,-0.06,-0.0,0.03,0.55,-0.01,9.32,0.93
22.18,-0.1,-0.03,0.01,0.54,-0.01,9.31,0.77
22.2,-0.11,-0.05,-0.01,0.54,-0.01,9.3,0.79
22.22,-0.09,-0.06,-0.03,0.53,-0.0,9.29,0.77
22.24,-0.06,-0.07,-0.05,0.52,0.01,9.3,0.53
22.25,-0.04,-0.08,-0.08,0.52,0.01,9.31,0.1
22.27,-0.02,-0.07,-0.07,0.53,0.01,9.32,-0.27
22.29,-0.01,-0.05,-0.04,0.53,0.01,9.32,-0.4
22.31,0.01,-0.05,0.01,0.53,0.0,9.31,-0.37
22.33,0.02,-0.06,0.03,0.53,-0.0,9.32,-0.42
22.34,0.03,-0.07,0.02,0.53,-0.0,9.32,-0.65
22.36,0.03,-0.07,0.01,0.54,-0.0,9.32,-0.92
22.38,0.02,-0.05,0.02,0.54,-0.01,9.31,-0.99
22.4,0.01,-0.04,0.04,0.54,-0.01,9.31,-0.8
22.42,0.01,-0.02,0.03,0.54,-0.01,9.31,-0.5
22.43,0.0,0.02,0.0,0.53,-0.02,9.31,-0.37
22.45,0.0,0.03,-0.02,0.53,-0.02,9.31,-0.39
22.47,0.01,0.02,-0.01,0.53,-0.02,9.31,-0.37
22.49,0.02,-0.01,0.01,0.53,-0.01,9.31,-0.09
22.5,0.04,-0.02,0.05,0.53,-0.01,9.31,0.32
22.52,0.05,-0.01,0.07,0.53,-0.02,9.31,0.68
22.54,0.04,0.01,0.07,0.53,-0.02,9.31,0.8
22.56,0.01,0.02,0.05,0.52,-0.03,9.3,0.77
22.58,-0.01,0.02,0.01,0.52,-0.02,9.3,0.83
22.59,-0.03,0.03,-0.02,0.52,-0.02,9.32,1.07
22.61,-0.05,0.05,-0.04,0.53,-0.01,9.34,1.32
22.63,-0.05,0.06,-0.04,0.53,0.0,9.35,1.38
22.65,-0.02,0.05,-0.03,0.53,0.01,9.35,1.18
22.67,0.01,0.01,-0.02,0.53,0.01,9.33,0.89
22.68,0.02,-0.04,-0.03,0.53,0.01,9.31,0.77
22.7,0.02,-0.08,-0.04,0.53,0.01,9.31,0.79
22.72,0.0,-0.1,-0.04,0.54,0.01,9.32,0.76
22.74,-0.01,-0.09,-0.04,0.54,0.02,9.33,0.49
22.76,-0.0,-0.06,-0.03,0.53,0.01,9.33,0.05
22.77,0.03,-0.05,-0.01,0.53,-0.0,9.33,-0.3
22.79,0.05,-0.04,0.02,0.53,-0.01,9.33,-0.4
22.81,0.07,-0.01,0.04,0.53,-0.02,9.33,-0.37
22.83,0.07,0.04,0.05,0.54,-0.02,9.32,-0.43
22.85,0.06,0.05,0.06,0.55,-0.02,9.31,-0.68
22.86,0.03,0.02,0.09,0.55,-0.02,9.3,-0.93
22.88,0.01,-0.01,0.1,0.55,-0.02,9.3,-0.98
22.9,0.0,-0.02,0.09,0.56,-0.01,9.31,-0.77
22.92,0.01,-0.0,0.09,0.55,0.0,9.33,-0.48
22.93,0.03,0.04,0.08,0.54,0.01,9.34,-0.37
22.95,0.01,0.07,0.07,0.53,0.01,9.33,-0.39
22.97,-0.02,0.07,0.06,0.52,0.01,9.32,-0.35
22.99,-0.05,0.07,0.06,0.52,0.01,9.32,-0.07
23.01,-0.05,0.08,0.05,0.53,0.01,9.31,0.37
23.02,-0.05,0.06,0.05,0.54,0.0,9.29,0.71
23.04,-0.04,0.06,0.05,0.54,-0.01,9.29,0.8
23.06,-0.04,0.07,0.05,0.54,-0.01,9.29,0.77
23.08,-0.02,0.08,0.05,0.53,-0.0,9.3,0.83
23.1,0.0,0.09,0.05,0.53,0.0,9.3,1.1
23.11,0.0,0.07,0.04,0.53,0.01,9.31,1.34
23.13,-0.02,0.03,0.02,0.52,0.01,9.31,1.37
23.15,-0.04,0.01,0.01,0.53,0.01,9.33,1.15
23.17,-0.06,0.0,0.01,0.53,0.01,9.35,0.87
23.19,-0.06,0.0,0.01,0.53,0.02,9.36,0.77
23.2,-0.06,0.01,0.02,0.53,0.02,9.37,0.8
23.22,-0.05,0.02,0.02,0.53,0.02,9.37,0.74
23.24,-0.06,0.03,0.01,0.53,0.02,9.37,0.44
23.26,-0.05,0.04,0.0,0.53,0.02,9.36,0.0
23.28,-0.03,0.06,-0.0,0.53,0.02,9.35,-0.32
23.29,-0.01,0.05,0.01,0.53,0.03,9.34,-0.4
23.31,0.02,0.02,0.01,0.53,0.04,9.33,-0.37
23.33,0.04,0.0,0.02,0.54,0.04,9.32,-0.44
23.35,0.03,0.0,0.02,0.55,0.03,9.32,-0.72
23.36,0.01,0.02,0.01,0.57,0.02,9.34,-0.95
23.38,0.01,0.05,0.0,0.58,0.01,9.34,-0.96
23.4,0.01,0.04,-0.02,0.58,0.0,9.34,-0.73
23.42,-0.0,0.0,-0.05,0.57,0.01,9.33,-0.47
23.44,-0.05,-0.03,-0.07,0.56,0.01,9.32,-0.37
23.45,-0.09,-0.03,-0.07,0.54,0.01,9.31,-0.4
23.47,-0.09,-0.01,-0.07,0.53,-0.01,9.3,-0.33
23.49,-0.09,0.02,-0.06,0.53,-0.02,9.3,-0.02
23.51,-0.11,0.05,-0.07,0.52,-0.02,9.31,0.4
23.53,-0.13,0.06,-0.08,0.52,-0.02,9.32,0.73
23.54,-0.12,0.06,-0.08,0.52,-0.02,9.33,0.8
23.56,-0.09,0.04,-0.09,0.52,-0.01,9.34,0.77
23.58,-0.04,0.03,-0.1,0.52,-0.01,9.35,0.87
23.6,-0.0,0.03,-0.08,0.52,-0.01,9.35,1.13
23.62,0.01,0.03,-0.05,0.53,-0.0,9.34,1.37
23.63,0.01,0.02,-0.02,0.54,0.0,9.34,1.36
23.65,0.02,0.03,0.0,0.55,0.0,9.35,1.1
23.67,0.04,0.03,0.01,0.54,0.0,9.36,0.85
23.69,0.06,0.0,0.0,0.54,-0.01,9.36,0.77
23.71,0.07,-0.04,-0.01,0.54,-0.02,9.34,0.8
23.72,0.06,-0.06,-0.01,0.54,-0.02,9.33,0.71
23.74,0.03,-0.06,0.01,0.54,-0.02,9.32,0.4
23.76,0.01,-0.02,0.02,0.54,-0.01,9.3,-0.04
23.78,-0.01,0.03,0.01,0.54,-0.01,9.29,-0.34
23.8,-0.02,0.06,-0.01,0.53,-0.0,9.29,-0.4
23.81,-0.03,0.06,-0.03,0.53,-0.0,9.28,-0.37
23.83,-0.04,0.04,-0.03,0.53,-0.0,9.28,-0.48
23.85,-0.05,0.01,-0.01,0.53,-0.01,9.3,-0.73
23.87,-0.05,-0.03,0.02,0.53,-0.01,9.32,-0.98
23.88,-0.06,-0.05,0.05,0.53,-0.01,9.33,-0.95
23.9,-0.06,-0.04,0.07,0.53,-0.0,9.33,-0.68
23.92,-0.05,-0.03,0.06,0.53,0.01,9.33,-0.44
23.94,-0.04,-0.03,0.03,0.53,0.01,9.33,-0.37
23.96,-0.03,-0.04,0.01,0.53,0.0,9.34,-0.4
23.97,-0.03,-0.04,0.02,0.53,-0.0,9.34,-0.31
23.99,-0.03,-0.03,0.04,0.52,-0.01,9.33,0.03
24.01,-0.01,-0.03,0.04,0.52,-0.0,9.32,0.47
24.03,0.01,-0.03,0.02,0.52,0.01,9.31,0.75
